positive,negative,model
"a woman laying on grass , sun2 , soonTM","ugly , bad , quality , horror , cryptic , bad hands",stable diffusion 4
"a woman laying on grass , sun2 , soonTM","ugly , bad , quality , horror , cryptic , bad hands",stable diffusion 4
"a woman laying on grass , sun2 , soonTM","ugly , bad , quality , horror , cryptic , bad hands",stable diffusion 4
"a woman laying on grass , sun2 , soonTM","ugly , bad , quality , horror , cryptic , bad hands",stable diffusion 4
"a rabbit wearing a magician black hat , high quality , realistic.","ugly , bad , quality , horror , cryptic , bad hands",stable diffusion 4
"a rabbit wearing a magician black hat , high quality , realistic.","ugly , bad , quality , horror , cryptic , bad hands",stable diffusion 4
"a rabbit wearing a magician black hat , high quality , realistic , illustration , high aesthetics.","ugly , bad , quality , horror , cryptic , bad hands",stable diffusion 4
"a rabbit wearing a magician black hat , high quality , realistic , illustration , high aesthetics.","ugly , bad , quality , horror , cryptic , bad hands",stable diffusion 4
"a rabbit wearing a magician black hat , high quality , realistic , illustration , high aesthetics.","ugly , bad , quality , horror , cryptic , bad hands",stable diffusion 4
"cartoon illustration , an anthropomorphic bear wearing a blue shirt with a fish logo , he is sitting in a livingroom with yellow walls , masterpiece ","ugly , bad , quality , horror , cryptic , bad hands",flux dev 1
